"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:FAF","Fire & Flower Holdings Corp.","FAF","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA3181081074","BJJG8Y1","282,005,376","CAD","Analyze"
"CT:VMD","Viemed Healthcare Inc","VMD","12/22/2017","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA92663R1055","BDT5BK3","278,701,632","CAD","Analyze"
"CT:ARG","Amerigo Resources Ltd","ARG","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA03074G1090","","265,663,056","CAD","Analyze"
"CT:TGL","Transglobe Energy Corporation","TGL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Energy","CA8936621066","","265,141,360","CAD","Analyze"
"CT:CAL","Caledonia Mining Corporation Plc","CAL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","JE00BF0XVB15","","263,482,992","CAD","Analyze"
"CT:FIRE","Supreme Cannabis Company","FIRE","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA86860J1066","BFN2HL7","251,768,240","CAD","Analyze"
"CT:TOT","Total Energy Services Inc","TOT","05/27/2009","Global Equity","Common stocks","Developed markets ex-US","Energy","CA89154B1022","B4YSN64","238,480,000","CAD","Analyze"
"CT:JE","Just Energy Group Inc","JE","04/30/2001","Global Equity","Common stocks","Developed markets ex-US","Utilities","CA48213W1014","B63MCN1","236,546,720","CAD","Analyze"
"CT:MND","Mandalay Resources Corporation","MND","06/12/2006","Global Equity","Common stocks","Developed markets ex-US","Materials","CA5625682045","2744953","225,059,008","CAD","Analyze"
"CT:BNE","Bonterra Energy Corp","BNE","11/19/2008","Global Equity","Common stocks","Developed markets ex-US","Energy","CA0985461049","B3K3G89","221,801,616","CAD","Analyze"
"CT:GPR","Great Panther Silver Limited","GPR","10/09/2003","Global Equity","Common stocks","Developed markets ex-US","Materials","CA39115V1013","2926472","221,213,520","CAD","Analyze"
"CT:RIV","Canopy Rivers","RIV","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA1380411084","BF5HVC9","220,774,256","CAD","Analyze"
"CT:FF","First Mining Gold Corp.","FF","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA3208901064","","220,040,736","CAD","Analyze"
"CT:TV","Trevali Mining Corporation","TV","10/07/2010","Global Equity","Common stocks","Developed markets ex-US","Materials","CA89531J1093","B66J1R6","212,711,760","CAD","Analyze"
"CT:BU","Burcon NutraScience Corporation","BU","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA1208311029","","207,219,712","CAD","Analyze"
"CT:TMD","Titan Medical Inc.","TMD","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA88830X8199","","204,107,520","CAD","Analyze"
"CT:EFL","Electrovaya Inc.","EFL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA28617B1013","","189,723,280","CAD","Analyze"
"CT:ALEF","Aleafia Health Inc.","ALEF","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA01444Q1046","BDRXWQ2","189,563,232","CAD","Analyze"
"CT:CRDL","Cardiol Therapeutics Inc. Class A","CRDL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA14161Y2006","BHZT969","185,529,248","CAD","Analyze"
"CT:CFW","Calfrac Well Services Ltd","CFW","04/25/1996","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA1295841086","B00FMR5","183,743,712","CAD","Analyze"
"CT:GH","Gamehost Inc","GH","08/15/2006","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA36468B1040","B3MHGL2","183,535,552","CAD","Analyze"
